seed,strategy,algo,learning_hits,learning_obs,deployment_hits,deployment_obs
14,active-semigreedy,glm,16,468,15,174
14,active-greedy,glm,48,468,8,142
14,active-prob,glm,15,468,28,175
14,random,tree,16,468,6,174
14,greedy,tree,10,468,1,180
14,prob,tree,26,468,10,164
14,prob-sq,tree,17,468,9,173
14,active,tree,10,468,0,180
14,active-interquartile,tree,15,468,0,175
14,active-semigreedy,tree,18,468,12,172
14,active-greedy,tree,10,468,0,180
14,active-prob,tree,21,468,8,169
15,random,glm,17,468,44,173
15,greedy,glm,74,468,5,116
15,prob,glm,22,468,27,168
15,prob-sq,glm,30,468,37,160
15,active,glm,19,468,40,171
15,active-interquartile,glm,11,468,46,179
15,active-semigreedy,glm,15,468,39,175
15,active-greedy,glm,73,417,3,117
15,active-prob,glm,19,468,35,171
15,random,tree,13,468,26,177
15,greedy,tree,13,468,4,177
15,prob,tree,27,468,28,163
15,prob-sq,tree,28,468,13,162
15,active,tree,11,468,1,179
15,active-interquartile,tree,17,468,23,173
15,active-semigreedy,tree,20,468,15,170
15,active-greedy,tree,12,456,18,178
15,active-prob,tree,24,468,31,166
16,random,glm,17,468,21,173
16,greedy,glm,55,468,6,135
16,prob,glm,19,468,24,171
16,prob-sq,glm,26,468,26,164
16,active,glm,23,468,25,167
16,active-interquartile,glm,22,468,24,168
16,active-semigreedy,glm,18,468,15,172
16,active-greedy,glm,59,468,7,131
16,active-prob,glm,19,468,17,171
16,random,tree,16,468,0,174
16,greedy,tree,10,468,16,180
16,prob,tree,25,468,6,165
16,prob-sq,tree,28,468,6,162
16,active,tree,10,468,0,180
16,active-interquartile,tree,20,468,20,170
16,active-semigreedy,tree,16,468,0,174
16,active-greedy,tree,10,468,0,180
16,active-prob,tree,26,468,7,164
17,random,glm,22,468,9,168
17,greedy,glm,45,468,6,145
17,prob,glm,23,468,9,167
17,prob-sq,glm,16,468,15,174
17,active,glm,18,468,8,172
17,active-interquartile,glm,24,468,14,166
17,active-semigreedy,glm,18,468,13,172
17,active-greedy,glm,39,468,12,151
17,active-prob,glm,20,468,8,170
17,random,tree,21,468,2,169
17,greedy,tree,10,468,0,180
17,prob,tree,16,468,3,174
17,prob-sq,tree,23,468,2,167
17,active,tree,11,468,1,179
17,active-interquartile,tree,15,468,1,175
17,active-semigreedy,tree,17,468,0,173
17,active-greedy,tree,10,464,4,180
17,active-prob,tree,20,468,9,170
18,random,glm,24,468,2,166
18,greedy,glm,15,468,6,175
18,prob,glm,16,468,5,174
18,prob-sq,glm,19,468,3,171
18,active,glm,18,468,2,172
18,active-interquartile,glm,17,468,2,173
18,active-semigreedy,glm,20,468,0,170
18,active-greedy,glm,14,468,8,176
18,active-prob,glm,15,468,2,175
18,random,tree,20,468,0,170
18,greedy,tree,10,468,4,180
18,prob,tree,23,468,8,167
18,prob-sq,tree,19,468,8,171
18,active,tree,14,468,0,176
18,active-interquartile,tree,16,468,2,174
18,active-semigreedy,tree,15,468,4,175
18,active-greedy,tree,10,468,0,180
18,active-prob,tree,18,468,3,172
19,random,glm,19,468,52,171
19,greedy,glm,79,468,6,111
19,prob,glm,23,468,51,167
19,prob-sq,glm,33,468,41,157
19,active,glm,19,468,36,171
19,active-interquartile,glm,15,468,39,175
19,active-semigreedy,glm,16,468,37,174
19,active-greedy,glm,74,396,8,116
19,active-prob,glm,19,468,39,171
19,random,tree,19,468,30,171
19,greedy,tree,18,468,1,172
19,prob,tree,36,468,31,154
19,prob-sq,tree,39,468,27,151
19,active,tree,15,468,0,175
19,active-interquartile,tree,23,468,0,167
19,active-semigreedy,tree,20,468,10,170
19,active-greedy,tree,16,464,11,174
19,active-prob,tree,32,468,40,158
20,random,glm,19,468,23,171
20,greedy,glm,53,468,3,137
20,prob,glm,17,468,22,173
20,prob-sq,glm,19,468,22,171
20,active,glm,24,468,21,166
20,active-interquartile,glm,19,468,30,171
20,active-semigreedy,glm,19,468,22,171
20,active-greedy,glm,47,396,7,143
20,active-prob,glm,20,468,20,170
20,random,tree,19,468,0,171
20,greedy,tree,32,468,0,158
20,prob,tree,28,468,11,162
20,prob-sq,tree,30,468,15,160
20,active,tree,15,468,3,175
20,active-interquartile,tree,24,468,0,166
20,active-semigreedy,tree,23,468,3,167
20,active-greedy,tree,26,440,5,164
20,active-prob,tree,27,468,20,163
21,random,glm,16,468,82,174
21,greedy,glm,114,468,4,76
21,prob,glm,33,468,72,157
21,prob-sq,glm,74,468,41,116
21,active,glm,19,468,81,171
21,active-interquartile,glm,18,468,82,172
21,active-semigreedy,glm,16,468,80,174
21,active-greedy,glm,108,361,5,82
21,active-prob,glm,19,468,79,171
21,random,tree,15,468,0,175
21,greedy,tree,66,468,6,124
21,prob,tree,48,468,37,142
21,prob-sq,tree,73,468,31,117
21,active,tree,12,468,41,178
21,active-interquartile,tree,17,468,31,173
21,active-semigreedy,tree,18,468,58,172
21,active-greedy,tree,65,379,0,125
21,active-prob,tree,34,468,37,156
22,random,glm,18,468,26,172
22,greedy,glm,77,468,5,113
22,prob,glm,31,468,42,159
22,prob-sq,glm,31,468,36,159
22,active,glm,13,468,54,177
22,active-interquartile,glm,13,468,55,177
22,active-semigreedy,glm,16,468,34,174
22,active-greedy,glm,74,376,4,116
22,active-prob,glm,19,468,42,171
22,random,tree,21,468,44,169
22,greedy,tree,44,468,0,146
22,prob,tree,29,468,39,161
22,prob-sq,tree,73,468,17,117
22,active,tree,10,468,43,180
22,active-interquartile,tree,18,468,0,172
22,active-semigreedy,tree,18,468,14,172
22,active-greedy,tree,44,367,0,146
22,active-prob,tree,28,468,0,162
23,random,glm,17,468,14,173
23,greedy,glm,36,468,4,154
23,prob,glm,22,468,13,168
23,prob-sq,glm,19,468,16,171
23,active,glm,21,468,17,169
23,active-interquartile,glm,25,468,14,165
23,active-semigreedy,glm,21,468,17,169
23,active-greedy,glm,37,468,3,153
23,active-prob,glm,29,468,14,161
23,random,tree,26,468,10,164
23,greedy,tree,11,468,7,179
23,prob,tree,30,468,5,160
23,prob-sq,tree,32,468,8,158
23,active,tree,11,468,14,179
23,active-interquartile,tree,22,468,2,168
23,active-semigreedy,tree,17,468,0,173
23,active-greedy,tree,12,468,5,178
23,active-prob,tree,19,468,17,171
24,random,glm,24,468,37,166
24,greedy,glm,80,468,6,110
24,prob,glm,27,468,40,163
24,prob-sq,glm,40,468,34,150
24,active,glm,27,468,44,163
24,active-interquartile,glm,22,468,42,168
24,active-semigreedy,glm,15,468,35,175
24,active-greedy,glm,72,372,11,118
24,active-prob,glm,24,468,46,166
24,random,tree,18,468,0,172
24,greedy,tree,30,468,0,160
24,prob,tree,32,468,20,158
24,prob-sq,tree,45,468,13,145
24,active,tree,13,468,36,177
24,active-interquartile,tree,17,468,26,173
24,active-semigreedy,tree,18,468,14,172
24,active-greedy,tree,30,386,0,160
24,active-prob,tree,32,468,0,158
25,random,glm,21,468,13,169
25,greedy,glm,31,468,9,159
25,prob,glm,22,468,15,168
25,prob-sq,glm,27,468,14,163
25,active,glm,17,468,15,173
25,active-interquartile,glm,21,468,14,169
25,active-semigreedy,glm,20,468,15,170
25,active-greedy,glm,30,468,12,160
25,active-prob,glm,24,468,14,166
25,random,tree,16,468,0,174
25,greedy,tree,10,468,0,180
25,prob,tree,27,468,8,163
25,prob-sq,tree,22,468,9,168
25,active,tree,15,468,4,175
25,active-interquartile,tree,22,468,0,168
25,active-semigreedy,tree,23,468,0,167
25,active-greedy,tree,10,460,6,180
25,active-prob,tree,27,468,3,163
26,random,glm,18,468,34,172
26,greedy,glm,61,468,11,129
26,prob,glm,22,468,33,168
26,prob-sq,glm,40,468,26,150
26,active,glm,26,468,31,164
26,active-interquartile,glm,23,468,31,167
26,active-semigreedy,glm,13,468,32,177
26,active-greedy,glm,53,392,11,137
26,active-prob,glm,21,468,31,169
26,random,tree,23,468,0,167
26,greedy,tree,29,468,4,161
26,prob,tree,30,468,17,160
26,prob-sq,tree,33,468,15,157
26,active,tree,10,468,0,180
26,active-interquartile,tree,27,468,0,163
26,active-semigreedy,tree,22,468,25,168
26,active-greedy,tree,25,464,5,165
26,active-prob,tree,24,468,18,166
27,random,glm,17,468,7,173
27,greedy,glm,48,468,10,142
27,prob,glm,17,468,7,173
27,prob-sq,glm,18,468,4,172
27,active,glm,14,468,6,176
27,active-interquartile,glm,19,468,6,171
27,active-semigreedy,glm,20,468,7,170
27,active-greedy,glm,40,468,10,150
27,active-prob,glm,16,468,8,174
27,random,tree,21,468,4,169
27,greedy,tree,13,468,0,177
27,prob,tree,25,468,16,165
27,prob-sq,tree,33,468,18,157
27,active,tree,14,468,10,176
27,active-interquartile,tree,17,468,0,173
27,active-semigreedy,tree,17,468,17,173
27,active-greedy,tree,11,468,0,179
27,active-prob,tree,28,468,11,162
28,random,glm,16,468,8,174
28,greedy,glm,22,468,6,168
28,prob,glm,17,468,6,173
28,prob-sq,glm,16,468,4,174
28,active,glm,20,468,6,170
28,active-interquartile,glm,18,468,4,172
28,active-semigreedy,glm,19,468,6,171
28,active-greedy,glm,21,468,3,169
28,active-prob,glm,20,468,5,170
28,random,tree,20,468,5,170
28,greedy,tree,10,468,4,180
28,prob,tree,23,468,0,167
28,prob-sq,tree,17,468,1,173
28,active,tree,10,468,7,180
28,active-interquartile,tree,17,468,0,173
28,active-semigreedy,tree,22,468,6,168
28,active-greedy,tree,10,468,0,180
28,active-prob,tree,16,468,1,174
29,random,glm,23,468,16,167
29,greedy,glm,48,468,4,142
29,prob,glm,22,468,15,168
29,prob-sq,glm,27,468,22,163
29,active,glm,15,468,18,175
29,active-interquartile,glm,19,468,22,171
29,active-semigreedy,glm,18,468,9,172
29,active-greedy,glm,44,468,9,146
29,active-prob,glm,19,468,24,171
29,random,tree,14,468,9,176
29,greedy,tree,14,468,3,176
29,prob,tree,22,468,4,168
29,prob-sq,tree,20,468,9,170
29,active,tree,10,468,11,180
29,active-interquartile,tree,15,468,11,175
29,active-semigreedy,tree,16,468,6,174
29,active-greedy,tree,14,464,0,176
29,active-prob,tree,21,468,11,169
30,random,glm,18,468,23,172
30,greedy,glm,60,468,7,130
30,prob,glm,27,468,22,163
30,prob-sq,glm,22,468,24,168
30,active,glm,19,468,23,171
30,active-interquartile,glm,20,468,22,170
30,active-semigreedy,glm,17,468,22,173
30,active-greedy,glm,57,468,7,133
30,active-prob,glm,25,468,20,165
30,random,tree,18,468,5,172
30,greedy,tree,15,468,9,175
30,prob,tree,30,468,4,160
30,prob-sq,tree,34,468,10,156
30,active,tree,13,468,17,177
30,active-interquartile,tree,26,468,0,164
30,active-semigreedy,tree,28,468,0,162
30,active-greedy,tree,13,456,10,177
30,active-prob,tree,22,468,9,168
31,random,glm,15,468,12,175
31,greedy,glm,34,468,5,156
31,prob,glm,24,468,11,166
31,prob-sq,glm,23,468,10,167
31,active,glm,16,468,8,174
31,active-interquartile,glm,16,468,12,174
31,active-semigreedy,glm,17,468,11,173
31,active-greedy,glm,22,468,16,168
31,active-prob,glm,23,468,10,167
31,random,tree,18,468,0,172
31,greedy,tree,13,468,0,177
31,prob,tree,26,468,11,164
31,prob-sq,tree,26,468,15,164
31,active,tree,10,468,0,180
31,active-interquartile,tree,21,468,0,169
31,active-semigreedy,tree,21,468,7,169
31,active-greedy,tree,12,468,0,178
31,active-prob,tree,27,468,17,163
32,random,glm,23,468,22,167
32,greedy,glm,48,468,7,142
32,prob,glm,17,468,20,173
32,prob-sq,glm,20,468,20,170
32,active,glm,15,468,24,175
32,active-interquartile,glm,23,468,18,167
32,active-semigreedy,glm,21,468,21,169
32,active-greedy,glm,41,468,14,149
32,active-prob,glm,18,468,21,172
32,random,tree,22,468,0,168
32,greedy,tree,15,468,3,175
32,prob,tree,25,468,3,165
32,prob-sq,tree,25,468,4,165
32,active,tree,10,468,0,180
32,active-interquartile,tree,17,468,5,173
32,active-semigreedy,tree,17,468,1,173
32,active-greedy,tree,16,464,2,174
32,active-prob,tree,22,468,9,168
33,random,glm,23,468,1,167
33,greedy,glm,12,468,3,178
33,prob,glm,15,468,2,175
33,prob-sq,glm,19,468,2,171
33,active,glm,17,468,2,173
33,active-interquartile,glm,20,468,1,170
33,active-semigreedy,glm,17,468,1,173
33,active-greedy,glm,22,468,0,168
33,active-prob,glm,19,468,2,171
33,random,tree,21,468,0,169
33,greedy,tree,10,468,0,180
33,prob,tree,21,468,0,169
33,prob-sq,tree,18,468,9,172
33,active,tree,12,468,0,178
33,active-interquartile,tree,23,468,0,167
33,active-semigreedy,tree,20,468,7,170
33,active-greedy,tree,10,468,1,180
33,active-prob,tree,13,468,4,177
34,random,glm,20,468,31,170
34,greedy,glm,64,468,11,126
34,prob,glm,26,468,27,164
34,prob-sq,glm,24,468,30,166
34,active,glm,20,468,32,170
34,active-interquartile,glm,21,468,22,169
34,active-semigreedy,glm,11,468,35,179
34,active-greedy,glm,60,389,7,130
34,active-prob,glm,20,468,32,170
34,random,tree,15,468,0,175
34,greedy,tree,25,468,0,165
34,prob,tree,24,468,15,166
34,prob-sq,tree,43,468,15,147
34,active,tree,10,468,0,180
34,active-interquartile,tree,19,468,25,171
34,active-semigreedy,tree,21,468,1,169
34,active-greedy,tree,11,436,0,179
34,active-prob,tree,23,468,26,167
35,random,glm,24,468,30,166
35,greedy,glm,78,468,6,112
35,prob,glm,33,468,35,157
35,prob-sq,glm,42,468,32,148
35,active,glm,22,468,43,168
35,active-interquartile,glm,23,468,35,167
35,active-semigreedy,glm,22,468,43,168
35,active-greedy,glm,73,437,9,117
35,active-prob,glm,25,468,32,165
35,random,tree,18,468,0,172
35,greedy,tree,20,468,1,170
35,prob,tree,34,468,17,156
35,prob-sq,tree,40,468,17,150
35,active,tree,18,468,4,172
35,active-interquartile,tree,20,468,0,170
35,active-semigreedy,tree,18,468,0,172
35,active-greedy,tree,17,456,11,173
35,active-prob,tree,26,468,21,164
36,random,glm,17,468,37,173
36,greedy,glm,82,468,1,108
36,prob,glm,39,468,34,151
36,prob-sq,glm,37,468,38,153
36,active,glm,26,468,42,164
36,active-interquartile,glm,22,468,38,168
36,active-semigreedy,glm,18,468,47,172
36,active-greedy,glm,80,400,5,110
36,active-prob,glm,23,468,37,167
36,random,tree,19,468,0,171
36,greedy,tree,23,468,0,167
36,prob,tree,39,468,41,151
36,prob-sq,tree,56,468,18,134
36,active,tree,20,468,33,170
36,active-interquartile,tree,24,468,0,166
36,active-semigreedy,tree,19,468,4,171
36,active-greedy,tree,14,460,16,176
36,active-prob,tree,31,468,45,159
37,random,glm,17,468,7,173
37,greedy,glm,32,468,8,158
37,prob,glm,24,468,5,166
37,prob-sq,glm,15,468,8,175
37,active,glm,25,468,6,165
37,active-interquartile,glm,23,468,6,167
37,active-semigreedy,glm,16,468,6,174
37,active-greedy,glm,24,468,9,166
37,active-prob,glm,20,468,6,170
37,random,tree,21,468,1,169
37,greedy,tree,10,468,1,180
37,prob,tree,21,468,7,169
37,prob-sq,tree,22,468,5,168
37,active,tree,11,468,0,179
37,active-interquartile,tree,23,468,2,167
37,active-semigreedy,tree,25,468,3,165
37,active-greedy,tree,13,468,4,177
37,active-prob,tree,22,468,10,168
38,random,glm,17,468,12,173
38,greedy,glm,36,468,8,154
38,prob,glm,22,468,5,168
38,prob-sq,glm,23,468,7,167
38,active,glm,21,468,6,169
38,active-interquartile,glm,23,468,7,167
38,active-semigreedy,glm,14,468,7,176
38,active-greedy,glm,36,468,9,154
38,active-prob,glm,18,468,7,172
38,random,tree,15,468,17,175
38,greedy,tree,10,468,13,180
38,prob,tree,24,468,7,166
38,prob-sq,tree,23,468,9,167
38,active,tree,16,468,16,174
38,active-interquartile,tree,23,468,2,167
38,active-semigreedy,tree,19,468,0,171
38,active-greedy,tree,10,468,0,180
38,active-prob,tree,19,468,7,171
39,random,glm,19,468,60,171
39,greedy,glm,96,468,2,94
39,prob,glm,28,468,56,162
39,prob-sq,glm,34,468,53,156
39,active,glm,18,468,61,172
39,active-interquartile,glm,22,468,58,168
39,active-semigreedy,glm,15,468,24,175
39,active-greedy,glm,87,372,6,103
39,active-prob,glm,16,468,60,174
39,random,tree,19,468,0,171
39,greedy,tree,39,468,0,151
39,prob,tree,43,468,36,147
39,prob-sq,tree,54,468,30,136
39,active,tree,18,468,22,172
39,active-interquartile,tree,20,468,0,170
39,active-semigreedy,tree,21,468,0,169
39,active-greedy,tree,37,433,0,153
39,active-prob,tree,33,468,37,157
40,random,glm,19,468,37,171
40,greedy,glm,68,468,4,122
40,prob,glm,20,468,36,170
40,prob-sq,glm,21,468,36,169
40,active,glm,16,468,38,174
40,active-interquartile,glm,24,468,37,166
40,active-semigreedy,glm,15,468,37,175
40,active-greedy,glm,62,428,9,128
40,active-prob,glm,19,468,37,171
40,random,tree,21,468,0,169
40,greedy,tree,16,468,0,174
40,prob,tree,29,468,21,161
40,prob-sq,tree,20,468,22,170
40,active,tree,10,468,0,180
40,active-interquartile,tree,22,468,0,168
40,active-semigreedy,tree,17,468,2,173
40,active-greedy,tree,16,468,0,174
40,active-prob,tree,27,468,23,163
41,random,glm,15,468,1,175
41,greedy,glm,15,468,0,175
41,prob,glm,20,468,0,170
41,prob-sq,glm,17,468,0,173
41,active,glm,31,468,0,159
41,active-interquartile,glm,16,468,0,174
41,active-semigreedy,glm,16,468,0,174
41,active-greedy,glm,19,468,2,171
41,active-prob,glm,19,468,0,171
41,random,tree,16,468,0,174
41,greedy,tree,17,468,0,173
41,prob,tree,22,468,6,168
41,prob-sq,tree,24,468,2,166
41,active,tree,12,468,0,178
41,active-interquartile,tree,19,468,4,171
41,active-semigreedy,tree,16,468,0,174
41,active-greedy,tree,16,439,3,174
41,active-prob,tree,18,468,8,172
42,random,glm,17,468,22,173
42,greedy,glm,48,468,4,142
42,prob,glm,25,468,15,165
42,prob-sq,glm,22,468,17,168
42,active,glm,36,468,9,154
42,active-interquartile,glm,17,468,16,173
42,active-semigreedy,glm,18,468,14,172
42,active-greedy,glm,42,428,7,148
42,active-prob,glm,16,468,15,174
42,random,tree,20,468,0,170
42,greedy,tree,17,468,2,173
42,prob,tree,29,468,5,161
42,prob-sq,tree,25,468,9,165
42,active,tree,10,468,0,180
42,active-interquartile,tree,15,468,5,175
42,active-semigreedy,tree,17,468,2,173
42,active-greedy,tree,14,465,1,176
42,active-prob,tree,23,468,17,167
43,random,glm,18,468,79,172
43,greedy,glm,121,468,2,69
43,prob,glm,65,468,52,125
43,prob-sq,glm,103,468,20,87
43,active,glm,27,468,86,163
43,active-interquartile,glm,20,468,86,170
43,active-semigreedy,glm,19,468,87,171
43,active-greedy,glm,113,368,6,77
43,active-prob,glm,21,468,84,169
43,random,tree,16,468,90,174
43,greedy,tree,75,468,0,115
43,prob,tree,47,468,51,143
43,prob-sq,tree,83,468,21,107
43,active,tree,31,468,62,159
43,active-interquartile,tree,25,468,61,165
43,active-semigreedy,tree,23,468,67,167
43,active-greedy,tree,79,395,0,111
43,active-prob,tree,38,468,75,152
44,random,glm,21,468,7,169
44,greedy,glm,25,468,2,165
44,prob,glm,20,468,3,170
44,prob-sq,glm,22,468,4,168
44,active,glm,15,468,3,175
44,active-interquartile,glm,22,468,3,168
44,active-semigreedy,glm,16,468,3,174
